body,ticket_type,category,sub_category1,urgency,impact
All of the desktop will not be running(a),0,1,1,2,4
All of the desktop will not be operative,0,1,1,2,4
All of the desktop will not be functional,0,1,1,2,4
All of the desktop will not be working(a),0,1,1,2,4
All of the desktop will not be working(a),0,1,1,2,4
All of the desktop will not be working(a),0,1,1,2,4
All of the desktop will not be on the job(p),0,1,1,2,4
All of the desktop will not be workings,0,1,1,2,4
All of the desktop will not be working,0,1,1,2,4
My desktop wasnt running(a),0,1,1,2,4
My desktop wasnt operative,0,1,1,2,4
My desktop wasnt functional,0,1,1,2,4
My desktop wasnt working(a),0,1,1,2,4
My desktop wasnt working(a),0,1,1,2,4
My desktop wasnt working(a),0,1,1,2,4
My desktop wasnt on the job(p),0,1,1,2,4
My desktop wasnt workings,0,1,1,2,4
My desktop wasnt working,0,1,1,2,4
My desktop wasnt running(a),0,1,1,2,4
My desktop wasnt operative,0,1,1,2,4
My desktop wasnt functional,0,1,1,2,4
My desktop wasnt working(a),0,1,1,2,4
My desktop wasnt working(a),0,1,1,2,4
My desktop wasnt working(a),0,1,1,2,4
My desktop wasnt on the job(p),0,1,1,2,4
My desktop wasnt workings,0,1,1,2,4
My desktop wasnt working,0,1,1,2,4
Some of the laptop wasnt running(a),0,1,1,2,4
Some of the laptop wasnt operative,0,1,1,2,4
Some of the laptop wasnt functional,0,1,1,2,4
Some of the laptop wasnt working(a),0,1,1,2,4
Some of the laptop wasnt working(a),0,1,1,2,4
Some of the laptop wasnt working(a),0,1,1,2,4
Some of the laptop wasnt on the job(p),0,1,1,2,4
Some of the laptop wasnt workings,0,1,1,2,4
Some of the laptop wasnt working,0,1,1,2,4
Some of the desktop will not be running(a),0,1,1,2,4
Some of the desktop will not be operative,0,1,1,2,4
Some of the desktop will not be functional,0,1,1,2,4
Some of the desktop will not be working(a),0,1,1,2,4
Some of the desktop will not be working(a),0,1,1,2,4
Some of the desktop will not be working(a),0,1,1,2,4
Some of the desktop will not be on the job(p),0,1,1,2,4
Some of the desktop will not be workings,0,1,1,2,4
Some of the desktop will not be working,0,1,1,2,4
Our laptop is not running(a),0,1,1,2,4
Our laptop is not operative,0,1,1,2,4
Our laptop is not functional,0,1,1,2,4
Our laptop is not working(a),0,1,1,2,4
Our laptop is not working(a),0,1,1,2,4
Our laptop is not working(a),0,1,1,2,4
Our laptop is not on the job(p),0,1,1,2,4
Our laptop is not workings,0,1,1,2,4
Our laptop is not working,0,1,1,2,4
Most of the laptop might be not running(a),0,1,1,2,4
Most of the laptop might be not operative,0,1,1,2,4
Most of the laptop might be not functional,0,1,1,2,4
Most of the laptop might be not working(a),0,1,1,2,4
Most of the laptop might be not working(a),0,1,1,2,4
Most of the laptop might be not working(a),0,1,1,2,4
Most of the laptop might be not on the job(p),0,1,1,2,4
Most of the laptop might be not workings,0,1,1,2,4
Most of the laptop might be not working,0,1,1,2,4
All of the desktop has not been running(a),0,1,1,2,4
All of the desktop has not been operative,0,1,1,2,4
All of the desktop has not been functional,0,1,1,2,4
All of the desktop has not been working(a),0,1,1,2,4
All of the desktop has not been working(a),0,1,1,2,4
All of the desktop has not been working(a),0,1,1,2,4
All of the desktop has not been on the job(p),0,1,1,2,4
All of the desktop has not been workings,0,1,1,2,4
All of the desktop has not been working,0,1,1,2,4
The desktop might be not running(a),0,1,1,2,4
The desktop might be not operative,0,1,1,2,4
The desktop might be not functional,0,1,1,2,4
The desktop might be not working(a),0,1,1,2,4
The desktop might be not working(a),0,1,1,2,4
The desktop might be not working(a),0,1,1,2,4
The desktop might be not on the job(p),0,1,1,2,4
The desktop might be not workings,0,1,1,2,4
The desktop might be not working,0,1,1,2,4
My laptop arent running(a),0,1,1,2,4
My laptop arent operative,0,1,1,2,4
My laptop arent functional,0,1,1,2,4
My laptop arent working(a),0,1,1,2,4
My laptop arent working(a),0,1,1,2,4
My laptop arent working(a),0,1,1,2,4
My laptop arent on the job(p),0,1,1,2,4
My laptop arent workings,0,1,1,2,4
My laptop arent working,0,1,1,2,4
Our laptop arent running(a),0,1,1,2,4
Our laptop arent operative,0,1,1,2,4
Our laptop arent functional,0,1,1,2,4
Our laptop arent working(a),0,1,1,2,4
Our laptop arent working(a),0,1,1,2,4
Our laptop arent working(a),0,1,1,2,4
Our laptop arent on the job(p),0,1,1,2,4
Our laptop arent workings,0,1,1,2,4
Our laptop arent working,0,1,1,2,4
All of the desktop has not been running(a),0,1,1,2,4
All of the desktop has not been operative,0,1,1,2,4
All of the desktop has not been functional,0,1,1,2,4
All of the desktop has not been working(a),0,1,1,2,4
All of the desktop has not been working(a),0,1,1,2,4
All of the desktop has not been working(a),0,1,1,2,4
All of the desktop has not been on the job(p),0,1,1,2,4
All of the desktop has not been workings,0,1,1,2,4
All of the desktop has not been working,0,1,1,2,4
Some of the desktop wasnt running(a),0,1,1,2,4
Some of the desktop wasnt operative,0,1,1,2,4
Some of the desktop wasnt functional,0,1,1,2,4
Some of the desktop wasnt working(a),0,1,1,2,4
Some of the desktop wasnt working(a),0,1,1,2,4
Some of the desktop wasnt working(a),0,1,1,2,4
Some of the desktop wasnt on the job(p),0,1,1,2,4
Some of the desktop wasnt workings,0,1,1,2,4
Some of the desktop wasnt working,0,1,1,2,4
Our laptop arent running(a),0,1,1,2,4
Our laptop arent operative,0,1,1,2,4
Our laptop arent functional,0,1,1,2,4
Our laptop arent working(a),0,1,1,2,4
Our laptop arent working(a),0,1,1,2,4
Our laptop arent working(a),0,1,1,2,4
Our laptop arent on the job(p),0,1,1,2,4
Our laptop arent workings,0,1,1,2,4
Our laptop arent working,0,1,1,2,4
My desktop werent running(a),0,1,1,2,4
My desktop werent operative,0,1,1,2,4
My desktop werent functional,0,1,1,2,4
My desktop werent working(a),0,1,1,2,4
My desktop werent working(a),0,1,1,2,4
My desktop werent working(a),0,1,1,2,4
My desktop werent on the job(p),0,1,1,2,4
My desktop werent workings,0,1,1,2,4
My desktop werent working,0,1,1,2,4
My desktop has not been running(a),0,1,1,2,4
My desktop has not been operative,0,1,1,2,4
My desktop has not been functional,0,1,1,2,4
My desktop has not been working(a),0,1,1,2,4
My desktop has not been working(a),0,1,1,2,4
My desktop has not been working(a),0,1,1,2,4
My desktop has not been on the job(p),0,1,1,2,4
My desktop has not been workings,0,1,1,2,4
My desktop has not been working,0,1,1,2,4
Most of the laptop could be not running(a),0,1,1,2,4
Most of the laptop could be not operative,0,1,1,2,4
Most of the laptop could be not functional,0,1,1,2,4
Most of the laptop could be not working(a),0,1,1,2,4
Most of the laptop could be not working(a),0,1,1,2,4
Most of the laptop could be not working(a),0,1,1,2,4
Most of the laptop could be not on the job(p),0,1,1,2,4
Most of the laptop could be not workings,0,1,1,2,4
Most of the laptop could be not working,0,1,1,2,4
The desktop could be not running(a),0,1,1,2,4
The desktop could be not operative,0,1,1,2,4
The desktop could be not functional,0,1,1,2,4
The desktop could be not working(a),0,1,1,2,4
The desktop could be not working(a),0,1,1,2,4
The desktop could be not working(a),0,1,1,2,4
The desktop could be not on the job(p),0,1,1,2,4
The desktop could be not workings,0,1,1,2,4
The desktop could be not working,0,1,1,2,4
My desktop might be not running(a),0,1,1,2,4
My desktop might be not operative,0,1,1,2,4
My desktop might be not functional,0,1,1,2,4
My desktop might be not working(a),0,1,1,2,4
My desktop might be not working(a),0,1,1,2,4
My desktop might be not working(a),0,1,1,2,4
My desktop might be not on the job(p),0,1,1,2,4
My desktop might be not workings,0,1,1,2,4
My desktop might be not working,0,1,1,2,4
The laptop wasnt running(a),0,1,1,2,4
The laptop wasnt operative,0,1,1,2,4
The laptop wasnt functional,0,1,1,2,4
The laptop wasnt working(a),0,1,1,2,4
The laptop wasnt working(a),0,1,1,2,4
The laptop wasnt working(a),0,1,1,2,4
The laptop wasnt on the job(p),0,1,1,2,4
The laptop wasnt workings,0,1,1,2,4
The laptop wasnt working,0,1,1,2,4
All of the desktop will not be running(a),0,1,1,2,4
All of the desktop will not be operative,0,1,1,2,4
All of the desktop will not be functional,0,1,1,2,4
All of the desktop will not be working(a),0,1,1,2,4
All of the desktop will not be working(a),0,1,1,2,4
All of the desktop will not be working(a),0,1,1,2,4
All of the desktop will not be on the job(p),0,1,1,2,4
All of the desktop will not be workings,0,1,1,2,4
All of the desktop will not be working,0,1,1,2,4
My desktop will not be running(a),0,1,1,2,4
My desktop will not be operative,0,1,1,2,4
My desktop will not be functional,0,1,1,2,4
My desktop will not be working(a),0,1,1,2,4
My desktop will not be working(a),0,1,1,2,4
My desktop will not be working(a),0,1,1,2,4
My desktop will not be on the job(p),0,1,1,2,4
My desktop will not be workings,0,1,1,2,4
My desktop will not be working,0,1,1,2,4
Our laptop is not running(a),0,1,1,2,4
Our laptop is not operative,0,1,1,2,4
Our laptop is not functional,0,1,1,2,4
Our laptop is not working(a),0,1,1,2,4
Our laptop is not working(a),0,1,1,2,4
Our laptop is not working(a),0,1,1,2,4
Our laptop is not on the job(p),0,1,1,2,4
Our laptop is not workings,0,1,1,2,4
Our laptop is not working,0,1,1,2,4
Our laptop wasnt running(a),0,1,1,2,4
Our laptop wasnt operative,0,1,1,2,4
Our laptop wasnt functional,0,1,1,2,4
Our laptop wasnt working(a),0,1,1,2,4
Our laptop wasnt working(a),0,1,1,2,4
Our laptop wasnt working(a),0,1,1,2,4
Our laptop wasnt on the job(p),0,1,1,2,4
Our laptop wasnt workings,0,1,1,2,4
Our laptop wasnt working,0,1,1,2,4
My laptop is not running(a),0,1,1,2,4
My laptop is not operative,0,1,1,2,4
My laptop is not functional,0,1,1,2,4
My laptop is not working(a),0,1,1,2,4
My laptop is not working(a),0,1,1,2,4
My laptop is not working(a),0,1,1,2,4
My laptop is not on the job(p),0,1,1,2,4
My laptop is not workings,0,1,1,2,4
My laptop is not working,0,1,1,2,4
Our desktop will not be running(a),0,1,1,2,4
Our desktop will not be operative,0,1,1,2,4
Our desktop will not be functional,0,1,1,2,4
Our desktop will not be working(a),0,1,1,2,4
Our desktop will not be working(a),0,1,1,2,4
Our desktop will not be working(a),0,1,1,2,4
Our desktop will not be on the job(p),0,1,1,2,4
Our desktop will not be workings,0,1,1,2,4
Our desktop will not be working,0,1,1,2,4
My desktop might be not running(a),0,1,1,2,4
My desktop might be not operative,0,1,1,2,4
My desktop might be not functional,0,1,1,2,4
My desktop might be not working(a),0,1,1,2,4
My desktop might be not working(a),0,1,1,2,4
My desktop might be not working(a),0,1,1,2,4
My desktop might be not on the job(p),0,1,1,2,4
My desktop might be not workings,0,1,1,2,4
My desktop might be not working,0,1,1,2,4
My laptop will not be running(a),0,1,1,2,4
My laptop will not be operative,0,1,1,2,4
My laptop will not be functional,0,1,1,2,4
My laptop will not be working(a),0,1,1,2,4
My laptop will not be working(a),0,1,1,2,4
My laptop will not be working(a),0,1,1,2,4
My laptop will not be on the job(p),0,1,1,2,4
My laptop will not be workings,0,1,1,2,4
My laptop will not be working,0,1,1,2,4
Our internet has not been  running(a),0,1,2,2,4
Our internet has not been  operative,0,1,2,2,4
Our internet has not been  functional,0,1,2,2,4
Our internet has not been  working(a),0,1,2,2,4
Our internet has not been  working(a),0,1,2,2,4
Our internet has not been  working(a),0,1,2,2,4
Our internet has not been  on the job(p),0,1,2,2,4
Our internet has not been  workings,0,1,2,2,4
Our internet has not been  working,0,1,2,2,4
Our internet could be not  running(a),0,1,2,2,4
Our internet could be not  operative,0,1,2,2,4
Our internet could be not  functional,0,1,2,2,4
Our internet could be not  working(a),0,1,2,2,4
Our internet could be not  working(a),0,1,2,2,4
Our internet could be not  working(a),0,1,2,2,4
Our internet could be not  on the job(p),0,1,2,2,4
Our internet could be not  workings,0,1,2,2,4
Our internet could be not  working,0,1,2,2,4
Most of the internet is not  running(a),0,1,2,2,4
Most of the internet is not  operative,0,1,2,2,4
Most of the internet is not  functional,0,1,2,2,4
Most of the internet is not  working(a),0,1,2,2,4
Most of the internet is not  working(a),0,1,2,2,4
Most of the internet is not  working(a),0,1,2,2,4
Most of the internet is not  on the job(p),0,1,2,2,4
Most of the internet is not  workings,0,1,2,2,4
Most of the internet is not  working,0,1,2,2,4
Most of the internet will not be  running(a),0,1,2,2,4
Most of the internet will not be  operative,0,1,2,2,4
Most of the internet will not be  functional,0,1,2,2,4
Most of the internet will not be  working(a),0,1,2,2,4
Most of the internet will not be  working(a),0,1,2,2,4
Most of the internet will not be  working(a),0,1,2,2,4
Most of the internet will not be  on the job(p),0,1,2,2,4
Most of the internet will not be  workings,0,1,2,2,4
Most of the internet will not be  working,0,1,2,2,4
My internet is not  running(a),0,1,2,2,4
My internet is not  operative,0,1,2,2,4
My internet is not  functional,0,1,2,2,4
My internet is not  working(a),0,1,2,2,4
My internet is not  working(a),0,1,2,2,4
My internet is not  working(a),0,1,2,2,4
My internet is not  on the job(p),0,1,2,2,4
My internet is not  workings,0,1,2,2,4
My internet is not  working,0,1,2,2,4
Some of the internet will not be  running(a),0,1,2,2,4
My internet will not be  running(a),0,1,2,2,4
My internet will not be  operative,0,1,2,2,4
My internet will not be  functional,0,1,2,2,4
My internet will not be  working(a),0,1,2,2,4
My internet will not be  working(a),0,1,2,2,4
My internet will not be  working(a),0,1,2,2,4
My internet will not be  on the job(p),0,1,2,2,4
My internet will not be  workings,0,1,2,2,4
My internet will not be  working,0,1,2,2,4
All of the internet will not be  running(a),0,1,2,2,4
All of the internet will not be  operative,0,1,2,2,4
All of the internet will not be  functional,0,1,2,2,4
All of the internet will not be  working(a),0,1,2,2,4
All of the internet will not be  working(a),0,1,2,2,4
All of the internet will not be  working(a),0,1,2,2,4
All of the internet will not be  on the job(p),0,1,2,2,4
All of the internet will not be  workings,0,1,2,2,4
All of the internet will not be  working,0,1,2,2,4
Our internet is not  running(a),0,1,2,2,4
Our internet is not  operative,0,1,2,2,4
Our internet is not  functional,0,1,2,2,4
Our internet is not  working(a),0,1,2,2,4
Our internet is not  working(a),0,1,2,2,4
Our internet is not  working(a),0,1,2,2,4
Our internet is not  on the job(p),0,1,2,2,4
Our internet is not  workings,0,1,2,2,4
Our internet is not  working,0,1,2,2,4
The internet has not been  running(a),0,1,2,2,4
The internet has not been  operative,0,1,2,2,4
The internet has not been  functional,0,1,2,2,4
The internet has not been  working(a),0,1,2,2,4
The internet has not been  working(a),0,1,2,2,4
The internet has not been  working(a),0,1,2,2,4
The internet has not been  on the job(p),0,1,2,2,4
The internet has not been  workings,0,1,2,2,4
The internet has not been  working,0,1,2,2,4
Most of the internet could be not  running(a),0,1,2,2,4
Most of the internet could be not  operative,0,1,2,2,4
Most of the internet could be not  functional,0,1,2,2,4
Most of the internet could be not  working(a),0,1,2,2,4
Most of the internet could be not  working(a),0,1,2,2,4
Most of the internet could be not  working(a),0,1,2,2,4
Most of the internet could be not  on the job(p),0,1,2,2,4
Most of the internet could be not  workings,0,1,2,2,4
Most of the internet could be not  working,0,1,2,2,4
My internet has not been  running(a),0,1,2,2,4
My internet has not been  operative,0,1,2,2,4
My internet has not been  functional,0,1,2,2,4
My internet has not been  working(a),0,1,2,2,4
My internet has not been  working(a),0,1,2,2,4
My internet has not been  working(a),0,1,2,2,4
My internet has not been  on the job(p),0,1,2,2,4
My internet has not been  workings,0,1,2,2,4
My internet has not been  working,0,1,2,2,4
My internet is not  running(a),0,1,2,2,4
My internet is not  operative,0,1,2,2,4
My internet is not  functional,0,1,2,2,4
My internet is not  working(a),0,1,2,2,4
My internet is not  working(a),0,1,2,2,4
My internet is not  working(a),0,1,2,2,4
My internet is not  on the job(p),0,1,2,2,4
My internet is not  workings,0,1,2,2,4
My internet is not  working,0,1,2,2,4
The internet will not be  running(a),0,1,2,2,4
The internet will not be  operative,0,1,2,2,4
The internet will not be  functional,0,1,2,2,4
The internet will not be  working(a),0,1,2,2,4
The internet will not be  working(a),0,1,2,2,4
The internet will not be  working(a),0,1,2,2,4
The internet will not be  on the job(p),0,1,2,2,4
The internet will not be  workings,0,1,2,2,4
The internet will not be  working,0,1,2,2,4
All of the internet has not been  running(a),0,1,2,2,4
All of the internet has not been  operative,0,1,2,2,4
All of the internet has not been  functional,0,1,2,2,4
All of the internet has not been  working(a),0,1,2,2,4
All of the internet has not been  working(a),0,1,2,2,4
All of the internet has not been  working(a),0,1,2,2,4
All of the internet has not been  on the job(p),0,1,2,2,4
All of the internet has not been  workings,0,1,2,2,4
All of the internet has not been  working,0,1,2,2,4
The internet is not  running(a),0,1,2,2,4
The internet is not  operative,0,1,2,2,4
The internet is not  functional,0,1,2,2,4
The internet is not  working(a),0,1,2,2,4
The internet is not  working(a),0,1,2,2,4
The internet is not  working(a),0,1,2,2,4
The internet is not  on the job(p),0,1,2,2,4
The internet is not  workings,0,1,2,2,4
The internet is not  working,0,1,2,2,4
Our internet could be not  running(a),0,1,2,2,4
Our internet could be not  operative,0,1,2,2,4
Our internet could be not  functional,0,1,2,2,4
Our internet could be not  working(a),0,1,2,2,4
Our internet could be not  working(a),0,1,2,2,4
Our internet could be not  working(a),0,1,2,2,4
Our internet could be not  on the job(p),0,1,2,2,4
Our internet could be not  workings,0,1,2,2,4
Our internet could be not  working,0,1,2,2,4
My internet is not  workings,0,1,2,2,4
My internet is not  working,0,1,2,2,4
My internet is not  running(a),0,1,2,2,4
My internet is not  operative,0,1,2,2,4
My internet is not  functional,0,1,2,2,4
My internet is not  working(a),0,1,2,2,4
My internet is not  working(a),0,1,2,2,4
My internet is not  working(a),0,1,2,2,4
My internet is not  on the job(p),0,1,2,2,4
My internet is not  workings,0,1,2,2,4
My internet is not  working,0,1,2,2,4